"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","Canada","2016A000011124","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062845","1.1.2.2.1.1","2503.9","","","","1"
"2024-03","Canada","2016A000011124","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062953","1.1.2.6.1.1","7974.2","","","","1"
"2024-03","Canada","2016A000011124","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062980","1.1.2.7.1.1","6000.7","","","","1"
"2024-03","Canada","2016A000011124","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062854","1.1.3.2.1.1","2352.5","","","","1"
"2024-03","Canada","2016A000011124","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062962","1.1.3.6.1.1","7882.6","","","","1"
"2024-03","Canada","2016A000011124","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062989","1.1.3.7.1.1","6538.6","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062846","1.2.2.2.1.1","1578.9","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062954","1.2.2.6.1.1","7357.0","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062981","1.2.2.7.1.1","2523.1","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062855","1.2.3.2.1.1","1478.3","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062963","1.2.3.6.1.1","6731.2","","","","1"
"2024-03","Canada","2016A000011124","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062990","1.2.3.7.1.1","2052.5","","","","1"
"2024-03","Canada","2016A000011124","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062847","1.3.2.2.1.1","1367.4","","","","1"
"2024-03","Canada","2016A000011124","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062955","1.3.2.6.1.1","6952.1","","","","1"
"2024-03","Canada","2016A000011124","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062982","1.3.2.7.1.1","2400.1","","","","1"
"2024-03","Canada","2016A000011124","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062856","1.3.3.2.1.1","1305.3","","","","1"
"2024-03","Canada","2016A000011124","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062964","1.3.3.6.1.1","6406.6","","","","1"
"2024-03","Canada","2016A000011124","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062991","1.3.3.7.1.1","1969.1","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062850","1.6.2.2.1.1","211.5","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062958","1.6.2.6.1.1","404.8","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062985","1.6.2.7.1.1","123.0","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062859","1.6.3.2.1.1","173.0","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062967","1.6.3.6.1.1","324.5","","","","1"
"2024-03","Canada","2016A000011124","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062994","1.6.3.7.1.1","83.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063034","2.1.2.2.1.1","30.1","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","94.0","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","101.9","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063043","2.1.3.2.1.1","27.7","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","96.7","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063178","2.1.3.7.1.1","109.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063035","2.2.2.2.1.1","18.5","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063143","2.2.2.6.1.1","84.7","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063170","2.2.2.7.1.1","36.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063044","2.2.3.2.1.1","18.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063152","2.2.3.6.1.1","82.9","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063179","2.2.3.7.1.1","30.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063036","2.3.2.2.1.1","14.9","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063144","2.3.2.6.1.1","76.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063171","2.3.2.7.1.1","31.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063045","2.3.3.2.1.1","16.2","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063153","2.3.3.6.1.1","78.6","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063180","2.3.3.7.1.1","26.2","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063039","2.6.2.2.1.1","3.6","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063147","2.6.2.6.1.1","8.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063174","2.6.2.7.1.1","5.0","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063048","2.6.3.2.1.1","2.2","","","","1"
