"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 years and over","Percentage","242","units","0","v2583265","1.8.2.2.1","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 years and over","Percentage","242","units","0","v2583265","1.8.2.2.1","12.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 years and over","Percentage","242","units","0","v2583265","1.8.2.2.1","11.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 years and over","Percentage","242","units","0","v2583265","1.8.2.2.1","8.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 years and over","Percentage","242","units","0","v2583265","1.8.2.2.1","8.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","15.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","22.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","16.8","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","16.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","15 to 24 years","Percentage","242","units","0","v2583355","1.8.2.2.2","19.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.1","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","10.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","10.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 years and over","Percentage","242","units","0","v2583445","1.8.2.2.3","7.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","8.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","11.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","8.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","7.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 44 years","Percentage","242","units","0","v2583535","1.8.2.2.4","7.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","6.5","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","10.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","11.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","7.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","45 years and over","Percentage","242","units","0","v2583625","1.8.2.2.5","7.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","8.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","11.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","8.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","7.4","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","25 to 54 years","Percentage","242","units","0","v2583715","1.8.2.2.6","6.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","6.2","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","10.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","12.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","6.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 years and over","Percentage","242","units","0","v2583805","1.8.2.2.7","8.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","8.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","12.4","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","13.4","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","6.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","55 to 64 years","Percentage","242","units","0","v2583895","1.8.2.2.8","9.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","65 years and over","Percentage","242","units","0","v2583985","1.8.2.2.9","","x","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","65 years and over","Percentage","242","units","0","v2583985","1.8.2.2.9","6.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","65 years and over","Percentage","242","units","0","v2583985","1.8.2.2.9","9.7","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","65 years and over","Percentage","242","units","0","v2583985","1.8.2.2.9","7.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Males","65 years and over","Percentage","242","units","0","v2583985","1.8.2.2.9","7.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 years and over","Percentage","242","units","0","v2584075","1.8.2.3.1","12.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 years and over","Percentage","242","units","0","v2584075","1.8.2.3.1","16.1","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 years and over","Percentage","242","units","0","v2584075","1.8.2.3.1","11.8","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 years and over","Percentage","242","units","0","v2584075","1.8.2.3.1","10.7","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 years and over","Percentage","242","units","0","v2584075","1.8.2.3.1","11.9","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","21.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","25.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","15.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","12.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","15 to 24 years","Percentage","242","units","0","v2584165","1.8.2.3.2","17.7","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.5","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","14.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","11.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 years and over","Percentage","242","units","0","v2584255","1.8.2.3.3","10.6","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","11.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","19.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","15.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","10.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 44 years","Percentage","242","units","0","v2584345","1.8.2.3.4","21.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","10.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","13.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","9.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","9.9","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","45 years and over","Percentage","242","units","0","v2584435","1.8.2.3.5","7.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","11.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","14.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","13.0","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","12.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","25 to 54 years","Percentage","242","units","0","v2584525","1.8.2.3.6","14.1","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","9.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","14.2","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","9.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","8.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 years and over","Percentage","242","units","0","v2584615","1.8.2.3.7","7.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","9.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","15.6","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","10.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","7.0","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","55 to 64 years","Percentage","242","units","0","v2584705","1.8.2.3.8","8.2","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","65 years and over","Percentage","242","units","0","v2584795","1.8.2.3.9","","x","","","1"
"2020","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","65 years and over","Percentage","242","units","0","v2584795","1.8.2.3.9","","x","","","1"
"2021","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","65 years and over","Percentage","242","units","0","v2584795","1.8.2.3.9","","x","","","1"
"2022","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","65 years and over","Percentage","242","units","0","v2584795","1.8.2.3.9","","x","","","1"
"2023","Canada","2016A000011124","Unemployment rate","0 to 8  years","Females","65 years and over","Percentage","242","units","0","v2584795","1.8.2.3.9","","x","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 years and over","Percentage","242","units","0","v2583266","1.8.3.2.1","11.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 years and over","Percentage","242","units","0","v2583266","1.8.3.2.1","15.9","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 years and over","Percentage","242","units","0","v2583266","1.8.3.2.1","13.8","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 years and over","Percentage","242","units","0","v2583266","1.8.3.2.1","10.8","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 years and over","Percentage","242","units","0","v2583266","1.8.3.2.1","10.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","18.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","25.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","20.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","15.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","16.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","11.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","10.2","","","","1"
